business_name,mobile_number,coaching_type,rating,reviews,website,short_address,district,taluka,city,maps_link
Dnyanjyoti Education,9975806127,"UPSC, MPSC, Tuition",4.8,2640,http://dnyanjyoti.com,"Sadashiv Peth, Pune",Akola,Akot,,https://www.google.com/maps/place/Dnyanjyoti Education : Best MPSC Class in Pune (Dnyanjyoti Education : Best UPSC Coaching Class in Pune)/data=!4m7!3m6!1s0x3bc2c1d98191b0fb:0xfbb7d62c2c06023b!8m2!3d18.5124857!4d73.8436526!16s/g/11g0g6jn4t!19sChIJ-7CRgdnBwjsROwIGLCzWt_s
Firstcry Intellitots Preschool & Daycare,7249596435,Kids Learning,4.8,104,https://firstcry.com,"Aadarsh Colony, Akola",Akola,,,"https://www.google.com/maps/place/FirstCry Intellitots Preschool & Daycare - Adarsh Colony, Akola/data=!4m7!3m6!1s0x3bd72f76785dbf1f:0x600c89653bf58c79!8m2!3d20.692552!4d77.0140758!16s/g/11t2lx84k8!19sChIJH79deHYv1zsReYz1O2WJDGA"
NDA Khadakwasla,,NDA,4.8,2266,https://nda.nic.in,"Khadakwasla, Pune",Akola,Balapur,,https://www.google.com/maps/place/NDA Khadakwasla/data=!4m7!3m6!1s0x3bc295e6a398b3c1:0x8b892a50f9e207ca!8m2!3d18.4610977!4d73.7591121!16zL20vMDdxNmtz!19sChIJwbOYo-aVwjsRygfi-VAqiYs
Phonics World Phonics And Grammar Classes,9423887090,"Tuition, Kids Learning",4.8,23,http://otsguru.com,"Ranpise Nagar, Akola",Akola,,,https://www.google.com/maps/place/Phonics World phonics and Grammar classes/data=!4m7!3m6!1s0x3bd72e1de4b32b59:0xa66b9712a7fcb2d8!8m2!3d20.7110161!4d77.0142996!16s/g/11k9j_dxyn!19sChIJWSuz5B0u1zsR2LL8pxKXa6Y
Soneji Coaching Classes Akola,9860062631,Tuition,4.8,117,http://sonejicoachingclasses.com,"Tapadia Nagar, Akola",Akola,,,"https://www.google.com/maps/place/Soneji Coaching Classes, Akola/data=!4m7!3m6!1s0x3bd72ff2506464eb:0x8869d93883cdeca7!8m2!3d20.7190354!4d77.0108728!16s/g/11h6wrr3fm!19sChIJ62RkUPIv1zsRp-zNgzjZaYg"
Visionn CS Institute,9849532076,CS,4.8,145,http://visionncs.blogspot.com,"Hyderabad, Telangana",Akola,Balapur,,https://www.google.com/maps/place/Visionn CS Institute/data=!4m7!3m6!1s0x3bcb985871c13d53:0x4edcd6ea0a809777!8m2!3d17.3678025!4d78.5275658!16s/g/11fx7mwd55!19sChIJUz3BcViYyzsRd5eACurW3E4
Yta Yashotej Academy Best NDA & Cds Coaching Classes In Pune Maharashtra,7030742778,"NDA, Tuition",4.8,787,http://yashotejacademy.com,"Gokul Nagar Industrial Area, Pune",Akola,Balapur,,"https://www.google.com/maps/place/YTA Yashotej Academy Best NDA & CDS Coaching Classes in Pune, Maharashtra/data=!4m7!3m6!1s0x3bc2eaee7c7bb07d:0x71626c8bc1610194!8m2!3d18.4495991!4d73.8785967!16s/g/11f65hxh75!19sChIJfbB7fO7qwjsRlAFhwYtsYnE"
Centre For Defence Careers NDA & Cds Classes In Mumbai Thane,9320704957,"Defence, NDA, Army, Tuition",4.7,241,https://centrefordefencecareers.co.in,"Mulund West, Mumbai",Akola,Balapur,,"https://www.google.com/maps/place/Centre For Defence Careers (NDA & CDS Classes in Mumbai, Thane)/data=!4m7!3m6!1s0x3be7b92718714da7:0x3a895edd4591d916!8m2!3d19.1760413!4d72.9598131!16s/g/1tfm53kw!19sChIJp01xGCe55zsRFtmRRd1eiTo"
Datamate Computer Education Mkcl Authorized Learning Center,9422860072,"Computer Classes, Tuition, Kids Learning",4.7,611,http://datamateeducation.co.in,"Shastri Nagar, Akola",Akola,,,https://www.google.com/maps/place/Datamate Computer Education MKCL Authorized Learning Center/data=!4m7!3m6!1s0x3bd72e033270e76b:0x18ec740412d45fbf!8m2!3d20.7050599!4d77.01401!16s/g/11c52rjkp0!19sChIJa-dwMgMu1zsRv1_UEgR07Bg
Dignitary Defence Academy,9119460546,"Defence, NDA",4.7,805,https://dignitarydefenseacademy.com,"Dhankawadi, Pune",Akola,Balapur,,https://www.google.com/maps/place/dignitary defence academy/data=!4m7!3m6!1s0x3bc2eabc881eb1ef:0x54ec69d75a2dfe08!8m2!3d18.4698078!4d73.8533419!16s/g/11gh2t0js2!19sChIJ77EeiLzqwjsRCP4tWtdp7FQ
Orbinova Academy,8830723094,"IIT JEE, Banking",4.7,23,https://orbinovaacademy.com,"New Radhakisan Plots, Akola",Akola,,,https://www.google.com/maps/place/Orbinova Academy/data=!4m7!3m6!1s0x3bd731b02581ee2f:0xd857594f97a959be!8m2!3d20.7112488!4d77.0083092!16s/g/11vhfwn2js!19sChIJL-6BJbAx1zsRvlmpl09ZV9g
Physics Wallah Vidyapeeth Coaching Center Akola IIT JEE NEET & Foundation,8045682665,"IIT JEE, NEET, NDA, Tuition, Science",4.7,363,https://pw.live,"Kirti Nagar, Akola",Akola,,,"https://www.google.com/maps/place/Physics Wallah Vidyapeeth Coaching Center Akola IIT JEE, NEET & Foundation/data=!4m7!3m6!1s0x3bd731cf52717179:0xac39e5b8f17284cd!8m2!3d20.6996094!4d77.0136432!16s/g/11w92l71l9!19sChIJeXFxUs8x1zsRzYRy8bjlOaw"
Rim Zeem Academy Best Abacus Vedic Math & Calligraphy The Institute Of Child Development,8668359647,"Tuition, Mathematics, Abacus, Vedic Maths",4.7,14,http://rimzeem.com,"Chhoti Umari, Akola",Akola,,,"https://www.google.com/maps/place/RIM ZEEM ACADEMY Best Abacus, Vedic Math & Calligraphy The institute of Child Development/data=!4m7!3m6!1s0x3bd72f80e68471ef:0x1f40f950ba1a512e!8m2!3d20.7128353!4d77.0208201!16s/g/11fgm5w5x0!19sChIJ73GE5oAv1zsRLlEaulD5QB8"
Spoton English Academy,9156140381,"Spoken English, Tuition, English Academy",4.7,109,https://spotonenglish.in,"Akot Fail, Akola",Akola,,,https://www.google.com/maps/place/Spoton english academy/data=!4m7!3m6!1s0x3bd731842d38bd89:0x74de0cb7e9d0d2d2!8m2!3d20.7264891!4d77.0015609!16s/g/11t7sxt45m!19sChIJib04LYQx1zsR0tLQ6bcM3nQ
Trikona Digital,8485007201,Tuition,4.7,295,https://trikona.digital,"Next To Shubhmangal Banquet Hall, Akola",Akola,,,https://www.google.com/maps/place/Trikona Digital - Digital Marketing Training Institute & Agency/data=!4m7!3m6!1s0x3bd72d22dac69599:0xb7087c3e85d7898!8m2!3d20.6916055!4d77.0175783!16s/g/11h47z5y90!19sChIJmZXG2iIt1zsRmHhd6MOHcAs
Vijaypath Academy Best MPSC Classes In Pune,8530421122,"MPSC, Tuition",4.7,747,https://vijaypathmpscpune.com,"Sadashiv Peth, Pune",Akola,Akot,,https://www.google.com/maps/place/Vijaypath Academy (best MPSC classes in Pune)/data=!4m7!3m6!1s0x3bc2c1265b89e5cb:0x92f8575a6f9a8e48!8m2!3d18.5097608!4d73.846981!16s/g/11fl09x2dt!19sChIJy-WJWybBwjsRSI6ab1pX-JI
Sip Abacus Ezone,,"Tuition, Abacus",4.6,56,http://sipabacus.com,"Jatharpeth, Akola",Akola,,,https://www.google.com/maps/place/SIP ABACUS EZONE/data=!4m7!3m6!1s0x3bd72e21f5db70eb:0x110edfe33c95d11f!8m2!3d20.7189869!4d77.0158537!16s/g/11fy56vv7s!19sChIJ63Db9SEu1zsRH9GVPOPfDhE
The Professional Computer Institute Akola,9823020509,"Computer Classes, Tuition",4.6,90,http://tpciakola.com,"Kapila Nagar, Akola",Akola,,,"https://www.google.com/maps/place/The Professional Computer Institute, Akola/data=!4m7!3m6!1s0x3bd72d584b2f7d85:0xd55d869aac15296f!8m2!3d20.6883175!4d77.0203235!16s/g/11g_x4vvpj!19sChIJhX0vS1gt1zsRbykVrJqGXdU"
Vidyasagar Academy Akola,,Science,4.6,557,https://vsa.edu.in,"Ranpise Nagar, Akola",Akola,,,https://www.google.com/maps/place/Vidyasagar Academy Akola/data=!4m7!3m6!1s0x3bd72e1c880e7d5f:0x97535b4491104e54!8m2!3d20.7079019!4d77.0167663!16s/g/1ptz035jj!19sChIJX30OiBwu1zsRVE4QkURbU5c
Anees Classes,9890826344,"IIT JEE, NEET, NDA, Tuition",4.5,971,https://aneesclasses.com,"Vishrantwadi, Pune",Akola,Balapur,,"https://www.google.com/maps/place/Anees Classes - Best NDA, CDS, AFCAT, SPI, JEE & NEET Coaching Classes in Pune/data=!4m7!3m6!1s0x3bc2c14576367b57:0x18fa8573335c660!8m2!3d18.5762597!4d73.8754298!16s/g/1pp2vmjgf!19sChIJV3s2dkXBwjsRYMY1M1eojwE"
Saint Paul's Academy & Jr College Akot,7258224250,Science,4.5,48,http://saintpaulacademy.in,"Shrijicolony, Akot",Akola,Akot,,https://www.google.com/maps/place/Saint Paul's Academy & Jr College Akot/data=!4m7!3m6!1s0x3bd71bcea2647995:0x217b3c4142cb1636!8m2!3d21.0877591!4d77.0627038!16s/g/11cn8wfsx5!19sChIJlXlkos4b1zsRNhbLQkE8eyE
T.i.m.e. Classes Akola,8830835089,"Banking, Tuition",4.5,34,https://time4education.com,"Ramnagar Infront Of Orbit Children Hospital, Akola",Akola,,,https://www.google.com/maps/place/T.I.M.E. Classes Akola/data=!4m7!3m6!1s0x3bd731e2eb9ef1db:0xc302eb94c1ca0f9a!8m2!3d20.7109941!4d77.0105026!16s/g/11ggng7bhd!19sChIJ2_Ge6-Ix1zsRmg_KwZTrAsM
Bright Career Institute,9146144555,Tuition,4.4,152,https://brightcareerakola.in,"Ranpise Nagar, Akola",Akola,,,https://www.google.com/maps/place/BRIGHT CAREER INSTITUTE/data=!4m7!3m6!1s0x3bd72f8951e60dd1:0x2963a38bfcd766fe!8m2!3d20.7115222!4d77.0132758!16s/g/11h8f4tkhv!19sChIJ0Q3mUYkv1zsR_mbX_IujYyk
Shree Samartha Coaching Classes Akola,8929100751,Tuition,4.4,230,https://samartheducation.org,"Ranpise Nagar, Akola",Akola,,,https://www.google.com/maps/place/Shree Samartha Coaching Classes Akola/data=!4m7!3m6!1s0x3bd72e1b99dcdb43:0x71b65be189bb066f!8m2!3d20.7087216!4d77.0173852!16s/g/1pzsx9v82!19sChIJQ9vcmRsu1zsRbwa7ieFbtnE
Wasim Sir's Chaudhary Coaching Classes,,"IIT JEE, NEET, Tuition",4.4,335,http://wasimsirschaudharyclasses.com,"Shastri Nagar, Akola",Akola,,,https://www.google.com/maps/place/Wasim Sir's Chaudhary Coaching Classes - Best NEET Coaching Classes Best JEE Classes Best NEET Tutorials in Akola/data=!4m7!3m6!1s0x3bd72e046a3392e1:0x1fc38469a6192822!8m2!3d20.7006007!4d77.0165061!16s/g/11dxp466bd!19sChIJ4ZIzagQu1zsRIigZpmmEwx8
Defence Career Academy,9343959595,"Defence, Army",4.3,500,http://dcaedu.in,"Khojewadi, Shahapur Banjar",Akola,Balapur,,https://www.google.com/maps/place/Defence Career Academy/data=!4m7!3m6!1s0x3bdb90102e30a063:0xd3aa1b5fd8e5b524!8m2!3d19.9056086!4d75.1690454!16s/g/1hc14k0v6!19sChIJY6AwLhCQ2zsRJLXl2F8bqtM
Deshumukh Sir's Saraswati Coaching Classes Akola,9359390706,Tuition,4.3,146,https://saraswaticoachingclassesakola.in,"Dwarka Nagri, Akola",Akola,,,https://www.google.com/maps/place/Deshumukh Sir's Saraswati Coaching Classes Akola/data=!4m7!3m6!1s0x3bd72e0381d44e4b:0x60aafe5834826d1f!8m2!3d20.702543!4d77.015949!16s/g/124yhzsl6!19sChIJS07UgQMu1zsRH22CNFj-qmA
Lalit Tutorials Akola,7969000900,Tuition,4.3,740,https://lalittutorials.com,"Dwarka Nagri, Akola",Akola,,,"https://www.google.com/maps/place/Lalit Tutorials, Akola/data=!4m7!3m6!1s0x3bd72e0389030dab:0x57988ed03587b7bf!8m2!3d20.7011282!4d77.0159434!16s/g/1hm2mmvmq!19sChIJqw0DiQMu1zsRv7eHNdCOmFc"
