business_name,mobile_number,coaching_type,rating,reviews,website,short_address,district,taluka,city,maps_link
Surya Computers,9765536042,"Computer Classes, Tuition",5.0,2,,"Jk Rd, Darewadi",Ahmednagar,,,https://www.google.com/maps/place/Surya Computers/data=!4m7!3m6!1s0x3bdcb10021585e11:0xd077892851162edf!8m2!3d19.0771917!4d74.7741833!16s/g/11y36b9bdf!19sChIJEV5YIQCx3DsR3y4WUSiJd9A
The Ballers Academy,7030071717,Railway,5.0,49,,"Anand Nagar, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/The Ballers Academy/data=!4m7!3m6!1s0x3bdcb177f3de0105:0x1b1b878f5a2f3ad9!8m2!3d19.0778643!4d74.7259656!16s/g/11m4jc1zg6!19sChIJBQHe83ex3DsR2TovWo-HGxs
Trill Music Academy Savedi Branch,9890998283,Tuition,5.0,40,,"Savedi, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Trill Music Academy Savedi Branch/data=!4m7!3m6!1s0x3bdcb17a25d33825:0xa7684659c866fb7e!8m2!3d19.1122751!4d74.7376343!16s/g/11lgqkbq_7!19sChIJJTjTJXqx3DsRfvtmyFlGaKc
Vastuvit Design Institute Nata Classes Ahmednagar,9011630372,Tuition,5.0,32,,"Patrakar Chowk, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Vastuvit Design Institute (Nata Classes Ahmednagar)/data=!4m7!3m6!1s0x3bdcbbf649d8ff87:0x2888ba7bcc3082b3!8m2!3d19.1098138!4d74.7332124!16s/g/11pf5wm80n!19sChIJh__YSfa73DsRs4IwzHu6iCg
Vidyasagar Gurukul Kid's Academy,8788744797,English Academy,5.0,1,,"Bhistabag, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Vidyasagar Gurukul kid's Academy/data=!4m7!3m6!1s0x3bdcbb5b8bff1267:0x76ea11a5658fbbc8!8m2!3d19.1341643!4d74.7399032!16s/g/11t3_yc9_q!19sChIJZxL_i1u73DsRyLuPZaUR6nY
Vighnaharta Computers,9860010777,"Computer Classes, Tuition",5.0,13,,"Tarakpur, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Vighnaharta Computers/data=!4m7!3m6!1s0x3bdcb1f473d14659:0xee151e4ada5ccf33!8m2!3d19.0993346!4d74.7365429!16s/g/11jmx1vq85!19sChIJWUbRc_Sx3DsRM89c2koeFe4
Yash Classes,9370499365,Tuition,5.0,5,,"Anand Nagar East, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Yash Classes/data=!4m7!3m6!1s0x3bdcbb1d74bad117:0x32aca97a4d91a9ad!8m2!3d19.1171607!4d74.7422859!16s/g/11r991_49g!19sChIJF9G6dB273DsRramRTXqprDI
'my English Hub' Spoken Academy,8857094845,"Spoken English, Tuition, English Academy",4.9,16,,"Tarakpur, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/''MY ENGLISH HUB' Spoken Academy'/data=!4m7!3m6!1s0x3bdcbb37f14ff32d:0x2fa26eca72489c99!8m2!3d19.1059916!4d74.7303984!16s/g/11n06nn0b9!19sChIJLfNP8Te73DsRmZxIcspuoi8
8 To 10 All Subjects Ahmednagar Vision Academy,8830110501,Tuition,4.9,43,,"Nepti Suburban, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/Best Coaching Classes 8 to 10 All Subjects Ahmednagar Vision Academy/data=!4m7!3m6!1s0x3bdcba7dea5abf23:0xebadecdf55742870!8m2!3d19.1198772!4d74.7349513!16s/g/11f32mrvp7!19sChIJI79a6n263DsRcCh0Vd_sres
Anomalous Coaching Classes,8857087569,"IIT JEE, NEET, NDA, Tuition",4.9,445,,"Savedi, Ahmednagar",Ahmednagar,,,https://www.google.com/maps/place/ANOMALOUS COACHING CLASSES(IIT-JEE/NEET/MHT-CET/NDA)/data=!4m7!3m6!1s0x3bdcba89b8bb8e55:0x3d9d71bee93c65cc!8m2!3d19.1253226!4d74.7485084!16s/g/11ddxs8c1j!19sChIJVY67uIm63DsRzGU86b5xnT0
